class,symptom1,symptom2,flow1,flow2
2005,"United Kingdom","Switzerland",7300.27,5582.32
2005,"United Kingdom","Taiwan",3200.212,1691.948
2005,"United States","Austria",6312.4,2831.27
2005,"United States","Belgium",13399.1,17070.2
2005,"United States","Canada",291944,195151
2005,"United States","China",270460.7,65476.34
2005,"United States","France",34774.3,25488.6
2005,"United States","Germany",86937.6,51367.2
2005,"United States","Italy",32418.9,13359.7
2005,"United States","Japan",141950,65446.9
2005,"United States","Mexico",172485,130402
2005,"United States","Netherlands",15503.1,27537.2
2005,"United States","Other Trade",505039.1,257544.8
2005,"United States","South Korea",45522.8,30787.6
2005,"United States","Spain",9127.8,7638.25
2005,"United States","Switzerland",13482.5,7086.42
2005,"United States","Taiwan",28510.23,20987.78
2005,"United States","United Kingdom",52380.3,41867.8
